"Year","SurfaceLakeTemperatureInSummer_DegreesC","SurfaceLakeTemperatureInSummer_DegreesF"
1985,22.629131819992,72.7324372759857
1986,21.3164078056551,70.3695340501792
1987,22.2200165425972,71.9960297766749
1988,22.0127439267224,71.6229390681004
1989,22.4444444444444,72.4
1990,22.3505122913725,72.2309221244705
1991,22.8710009292447,73.1678016726404
1992,21.3381549752518,70.4086789554532
1993,22.6814018319395,72.826523297491
1994,22.441912726859,72.3954429083461
1995,23.2268020708881,73.8082437275986
1996,22.4467877055243,72.4042178699437
1998,22.6101897681945,72.6983415827502
1999,23.1837249435816,73.7307048984468
2000,21.8742781760255,71.3737007168459
2001,22.6689992603971,72.8041986687148
2002,23.3613102349662,74.0503584229391
2003,22.7921146953405,73.0258064516129
2004,22.4234700650471,72.3622461170848
2005,24.1977299880526,75.5559139784946
2006,23.1532258064516,73.6758064516129
2007,23.3760205097571,74.0768369175627
2008,23.4938840530238,74.2889912954429
2009,22.2188883199636,71.9939989759345
2010,23.6104141776185,74.4987455197133
2011,23.45195684443,74.2135223199739
2012,23.8399044205496,74.9118279569892
2013,23.2465651135006,73.8438172043011
2015,23.5540217636992,74.3972391746585
2016,24.3962564715253,75.9132616487455
2017,22.419068454257,72.3543232176626
